persistence_tau_times_r,resource_equilibrium_over_K,resource_variance_per_unit_environment_variance,modified_variance,variance_change_percent,cv2_change_percent,consumer_variance_change_percent,resource_mean,modified_resource_mean,consumer_mean,modified_consumer_mean
0.8576958985908941,0.22426666666666667,0.08859689995538748,0.09098514217036288,2.695627291900715,-16.816541893560398,1.1784369933261374,0.22426666666666667,0.24918518518518515,0.4349278222222222,0.4677298216735253
0.9027251779484575,0.22426666666666667,0.09167664650278746,0.09411831641289478,2.663349940525017,-16.84268654817471,1.2244009054907634,0.22426666666666667,0.24918518518518515,0.4349278222222222,0.4677298216735253
0.9501185073181437,0.22426666666666667,0.09476028919556925,0.09725523999587528,2.6329075412136804,-16.8673448916169,1.274809918859643,0.22426666666666667,0.24918518518518515,0.4349278222222222,0.4677298216735253
1.0,0.22426666666666667,0.09783521766505136,0.10038344779543605,2.6046143619865125,-16.89026236679091,1.330006913443027,0.22426666666666667,0.24918518518518515,0.4349278222222222,0.4677298216735253
1.052500285277733,0.22426666666666667,0.10088772936233915,0.10348942093450149,2.578798817860539,-16.911172957532948,1.390344820590883,0.22426666666666667,0.24918518518518515,0.4349278222222222,0.4677298216735253
1.107756850509709,0.22426666666666667,0.1039030797277533,0.10655863563228717,2.5558009555558536,-16.92980122599974,1.4561838283579043,0.22426666666666667,0.24918518518518515,0.4349278222222222,0.4677298216735253
1.1659144011798317,0.22426666666666667,0.1068655595259699,0.1095756373852607,2.53596937246392,-16.94586480830419,1.5278880206770262,0.22426666666666667,0.24918518518518515,0.4349278222222222,0.4677298216735253
1.22712523985119,0.22426666666666667,0.10975860159934227,0.11252414250479799,2.5196575622846717,-16.959077374549402,1.6058214414561789,0.22426666666666667,0.24918518518518515,0.4349278222222222,0.4677298216735253
1.2915496650148839,0.22426666666666667,0.11256491860405368,0.11538716841748231,2.5072196990217455,-16.96915204379237,1.6903435935957,0.22426666666666667,0.24918518518518515,0.4349278222222222,0.4677298216735253
1.3593563908785256,0.22426666666666667,0.1152666723888809,0.11814719332524191,2.499005893605455,-16.975805226179563,1.7818044052361648,0.22426666666666667,0.24918518518518515,0.4349278222222222,0.4677298216735253
1.4307229891937576,0.22426666666666667,0.117845674562093,0.12078634483105335,2.4953569826705158,-16.978760844036866,1.880538720720626,0.22426666666666667,0.24918518518518515,0.4349278222222222,0.4677298216735253
1.5058363542798405,0.22426666666666667,0.120283616494084,0.1232866159836262,2.4965989359738705,-16.97775486186114,1.9868604008853374,0.22426666666666667,0.24918518518518515,0.4349278222222222,0.4677298216735253
1.5848931924611136,0.22426666666666667,0.1225623255677212,0.12563010592018703,2.5030369962837806,-16.97254003301011,2.101056145115665,0.22426666666666667,0.24918518518518515,0.4349278222222222,0.4677298216735253
1.6681005372000588,0.22426666666666667,0.12466404298197405,0.1277992809465786,2.5149496916748504,-16.96289074974333,2.2233791745332354,0.22426666666666667,0.24918518518518515,0.4349278222222222,0.4677298216735253
1.7556762912750012,0.22426666666666667,0.126571716923356,0.12977725056109196,2.532582883170509,-16.94860786463186,2.354042939877221,0.22426666666666667,0.24918518518518515,0.4349278222222222,0.4677298216735253
1.847849797422291,0.22426666666666667,0.12826930354531813,0.13154805168843892,2.5561440286158588,-16.92952333682114,2.493215037133023,0.22426666666666667,0.24918518518518515,0.4349278222222222,0.4677298216735253
1.944862438937362,0.22426666666666667,0.12974206704742408,0.13309693333628203,2.5857968546405763,-16.905504547741103,2.6410115267929024,0.22426666666666667,0.24918518518518515,0.4349278222222222,0.4677298216735253
2.046968271807521,0.22426666666666667,0.13097686933221206,0.1344106331120338,2.6216566309218203,-16.87645812895331,2.797491857064327,0.22426666666666667,0.24918518518518515,0.4349278222222222,0.4677298216735253
2.154434690031884,0.22426666666666667,0.13196243933438342,0.13547763662671922,2.6637862334664364,-16.842333150892152,2.962654586038438,0.22426666666666667,0.24918518518518515,0.4349278222222222,0.4677298216735253
2.2675431258708016,0.22426666666666667,0.13268961223716588,0.13628841083188867,2.71219316572453,-16.80312353576311,3.1364340820622783,0.22426666666666667,0.24918518518518515,0.4349278222222222,0.4677298216735253
2.386589786858581,0.22426666666666667,0.1331515294534544,0.1368356028243173,2.76682767819858,-16.75886958065913,3.318698355328298,0.22426666666666667,0.24918518518518515,0.4349278222222222,0.4677298216735253
2.51188643150958,0.22426666666666667,0.13334379145221548,0.137114196617236,2.8275820898430615,-16.709658507227097,3.509248137853449,0.22426666666666667,0.24918518518518515,0.4349278222222222,0.4677298216735253
2.6437611857490997,0.22426666666666667,0.13326455720606326,0.13712162178428616,2.894291369804236,-16.655623990458558,3.707817285228776,0.22426666666666667,0.24918518518518515,0.4349278222222222,0.4677298216735253
2.7825594022071245,0.22426666666666667,0.13291458613245324,0.13685780966401187,2.966734988460251,-16.59694465934717,3.914074524189859,0.22426666666666667,0.24918518518518515,0.4349278222222222,0.4677298216735253
2.9286445646252366,0.22426666666666667,0.13229722076980577,0.13632519486611003,3.0446399953577563,-16.53384160376018,4.127626518151328,0.22426666666666667,0.24918518518518515,0.4349278222222222,0.4677298216735253
3.082399239745143,0.22426666666666667,0.13141831091626768,0.1355286620186458,3.1276852317764225,-16.46657496226108,4.348022171607413,0.22426666666666667,0.24918518518518515,0.4349278222222222,0.4677298216735253
3.24422607917163,0.22426666666666667,0.13028608239647327,0.13447543989733643,3.215506540533264,-16.395439702168023,4.574758046996541,0.22426666666666667,0.24918518518518515,0.4349278222222222,0.4677298216735253
3.4145488738336014,0.22426666666666667,0.1289109558491002,0.13317494714278455,3.307702798104817,-16.320760733535078,4.807284727188832,0.22426666666666667,0.24918518518518515,0.4349278222222222,0.4677298216735253
3.5938136638046276,0.22426666666666667,0.12730532280399423,0.13163859557093657,3.4038425664369765,-16.242887521186034,5.045013925571973,0.22426666666666667,0.24918518518518515,0.4349278222222222,0.4677298216735253
3.782489906389384,0.22426666666666667,0.12548328773409453,0.12987955851206315,3.503471145324566,-16.16218837228708,5.287326125361913,0.22426666666666667,0.24918518518518515,0.4349278222222222,0.4677298216735253
3.9810717055349722,0.22426666666666667,0.12346038565801175,0.12791251260298167,3.6061178014642037,-16.07904458081397,5.533578520964344,0.22426666666666667,0.24918518518518515,0.4349278222222222,0.4677298216735253
4.190079105786669,0.22426666666666667,0.12125328521283317,0.12575336197215903,3.711302956803997,-15.99384460498875,5.783113036760912,0.22426666666666667,0.24918518518518515,0.4349278222222222,0.4677298216735253
4.4100594541767375,0.22426666666666667,0.11887948693608208,0.12341895380145798,3.8185451353913047,-15.906978440333031,6.035264211576785,0.22426666666666667,0.24918518518518515,0.4349278222222222,0.4677298216735253
4.641588833612778,0.22426666666666667,0.11635702585063191,0.12092679385937878,3.927367492714273,-15.818832330901422,6.289366758633741,0.22426666666666667,0.24918518518518515,0.4349278222222222,0.4677298216735253
4.885273571519389,0.22426666666666667,0.11370418642464036,0.11829476984377985,4.03730378228595,-15.72978393634834,6.5447626388970725,0.22426666666666667,0.24918518518518515,0.4349278222222222,0.4677298216735253
5.141751827683927,0.22426666666666667,0.1109392366848884,0.11554088933095928,4.147903648500306,-15.640198044714726,6.800807518047214,0.22426666666666667,0.24918518518518515,0.4349278222222222,0.4677298216735253
5.411695265464636,0.22426666666666667,0.10808018680651087,0.11268303789570124,4.258737170236904,-15.550422892108084,7.0568765115378795,0.22426666666666667,0.24918518518518515,0.4349278222222222,0.4677298216735253
5.695810810737687,0.22426666666666667,0.10514457599062889,0.10973876163684758,4.369398614178777,-15.460787122515152,7.312369156206766,0.22426666666666667,0.24918518518518515,0.4349278222222222,0.4677298216735253
5.99484250318941,0.22426666666666667,0.10214928996698913,0.1067250770014349,4.4795093885865445,-15.371597395244873,7.5667135788992645,0.22426666666666667,0.24918518518518515,0.4349278222222222,0.4677298216735253
6.309573444801933,0.22426666666666667,0.09911041009662676,0.10365830952092914,4.588720216038311,-15.283136625008941,7.819369861171355,0.22426666666666667,0.24918518518518515,0.4349278222222222,0.4677298216735253
6.6408278506348415,0.22426666666666667,0.09604309385455213,0.10055396191295284,4.6967125665817955,-15.195662821068723,8.0698326234387,0.22426666666666667,0.24918518518518515,0.4349278222222222,0.4677298216735253
6.989473207273485,0.22426666666666667,0.09296148547845987,0.09742661100091927,4.80319941046341,-15.109408477524621,8.317632871446357,0.22426666666666667,0.24918518518518515,0.4349278222222222,0.4677298216735253
7.3564225445964135,0.22426666666666667,0.08987865479131263,0.09428983208494868,4.907925362121035,-15.024580456681935,8.562339162544808,0.22426666666666667,0.24918518518518515,0.4349278222222222,0.4677298216735253
7.742636826811269,0.22426666666666667,0.08680656164200858,0.0911561487678435,5.010666294758548,-14.941360301245554,8.803558159185542,0.22426666666666667,0.24918518518518515,0.4349278222222222,0.4677298216735253
8.149127469020742,0.22426666666666667,0.08375604304530193,0.08803700579470405,5.111228508116894,-14.859904908425303,9.040934642735232,0.22426666666666667,0.24918518518518515,0.4349278222222222,0.4677298216735253
8.576958985908941,0.22426666666666667,0.08073681991710316,0.0849427621894347,5.20944753168382,-14.780347499336077,9.274151062737301,0.22426666666666667,0.24918518518518515,0.4349278222222222,0.4677298216735253
9.027251779484576,0.22426666666666667,0.07775752026644508,0.08188270184499753,5.30518664229136,-14.702798819743968,9.502926695795221,0.22426666666666667,0.24918518518518515,0.4349278222222222,0.4677298216735253
9.501185073181436,0.22426666666666667,0.07482571579092497,0.07886505872234942,5.3983351695706006,-14.627348512647774,9.727016484984862,0.22426666666666667,0.24918518518518515,0.4349278222222222,0.4677298216735253
10.0,0.22426666666666667,0.07194796899883109,0.0758970539099152,5.488806655749068,-14.55406660884323,9.946209625769109,0.22426666666666667,0.24918518518518515,0.4349278222222222,0.4677298216735253
10.525002852777327,0.22426666666666667,0.06912988822107893,0.07298494196629902,5.576536928414444,-14.483005087984269,10.160327958367255,0.22426666666666667,0.24918518518518515,0.4349278222222222,0.4677298216735253
11.077568505097092,0.22426666666666667,0.06637618815543943,0.07013406419083144,5.661482136623808,-14.414199469334676,10.369224219915353,0.22426666666666667,0.24918518518518515,0.4349278222222222,0.4677298216735253
11.659144011798316,0.22426666666666667,0.06369075388411798,0.0673489067194996,5.74361679253701,-14.347670398044986,10.57278020294179,0.22426666666666667,0.24918518518518515,0.4349278222222222,0.4677298216735253
